team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Cardinals,ARI,6,FB,551030301,Sone Ntoh,0,0,10357,40,1,1.00,1,100.00,0,10,0,2,10,2.00,10.00,3.33
Cardinals,ARI,6,WR,551027795,Marvin Harrison Jr,1,0,10102,18,6,39.70,16,91.67,1,29,3,58,217,3.62,13.56,39.56
Cardinals,ARI,6,TE,551028946,Tip Reiman,1,0,10225,87,1,0.50,1,100.00,0,5,0,0,5,0.00,5.00,1.25
Cardinals,ARI,6,HB,551026890,Trey Benson,1,0,10011,33,5,6.50,7,100.00,0,16,0,39,53,5.57,7.57,9.47
Cardinals,ARI,6,WR,551029671,Michael Wilson,2,0,2480,14,5,13.20,16,100.00,0,16,0,57,167,3.56,10.44,36.22
Cardinals,ARI,6,HB,551029539,Jaylen Warren,3,0,2012,30,4,10.70,9,100.00,0,13,0,57,83,6.33,9.22,18.75
Cardinals,ARI,6,TE,551028439,Trey McBride,3,0,1830,85,6,24.90,20,100.00,0,16,1,60,189,3.00,9.45,29.33
Cardinals,ARI,6,HB,551027214,James Conner,8,0,8515,6,1,-0.10,2,100.00,0,10,0,5,16,2.50,8.00,5.33
Cardinals,ARI,6,WR,551026952,Kendrick Bourne,8,0,9146,80,2,3.20,4,87.50,1,15,0,9,32,2.25,8.00,10.67
Cardinals,ARI,6,WR,551028161,Zay Jones,8,0,8611,17,2,15.80,6,91.67,1,43,1,33,98,5.50,16.33,18.17
Chargers,LAC,7,TE,551030082,Gunnar Helm,0,0,3666,85,5,16.90,12,100.00,0,43,0,66,169,5.50,14.08,34.13
Chargers,LAC,7,WR,551028455,Ladd McConkey,1,0,10169,15,6,103.00,28,90.95,4,50,9,91,490,3.25,17.50,70.80
Chargers,LAC,7,WR,551027303,Derius Davis,2,0,3053,12,3,8.50,6,88.89,1,29,0,25,85,4.17,14.17,19.83
Chargers,LAC,7,WR,551028107,Quentin Johnston,2,0,2241,1,6,32.20,28,93.45,2,70,8,172,511,6.14,18.25,70.54
Chargers,LAC,7,TE,551027531,Tucker Fisk,3,0,0,42,1,0.70,2,100.00,0,5,0,3,7,1.50,3.50,1.75
Chargers,LAC,7,WR,551028767,Joshua Palmer,4,0,1248,5,3,24.80,19,100.00,0,41,1,151,371,7.95,19.53,104.11
Chargers,LAC,7,HB,551027373,J.K. Dobbins,5,0,257,2,4,36.00,17,93.75,1,33,0,89,109,5.24,6.41,18.26
Chargers,LAC,7,FB,551026919,Khari Blasingame,6,0,100,48,2,1.20,2,100.00,0,10,0,5,14,2.50,7.00,3.50
Chargers,LAC,7,TE,551027369,Will Dissly,7,0,8871,81,6,14.90,20,95.56,2,37,0,72,177,3.60,8.85,16.47
Chiefs,KC,8,HB,551030202,Le'Veon Moss,0,0,4207,8,1,1.50,2,100.00,0,8,0,8,15,4.00,7.50,5.00
Chiefs,KC,8,TE,551029609,Jared Wiley,1,0,10294,12,1,1.40,1,100.00,0,14,0,4,14,4.00,14.00,2.33
Chiefs,KC,8,WR,551029716,Xavier Worthy,1,0,10305,1,6,43.50,20,94.29,2,62,1,139,375,6.95,18.75,72.84
Chiefs,KC,8,WR,551028962,Rashee Rice,2,0,2366,4,6,45.00,24,94.45,1,36,2,110,330,4.58,13.75,46.50
Chiefs,KC,8,HB,551028765,Isiah Pacheco,3,0,1875,10,6,61.30,37,91.79,5,48,6,329,437,8.89,11.81,70.32
Chiefs,KC,8,WR,551029386,Tyquan Thornton,3,0,1985,89,6,32.20,18,91.67,1,40,3,78,252,4.33,14.00,52.37
Chiefs,KC,8,TE,551027701,Noah Gray,4,0,1085,83,4,20.50,4,87.50,1,11,0,19,29,4.75,7.25,4.19
Chiefs,KC,8,TE,551028196,Travis Kelce,12,0,5920,87,6,40.10,28,92.50,3,31,3,120,265,4.29,9.46,45.68
Colts,IND,9,WR,551028552,Adonai Mitchell,1,0,10183,10,2,29.40,5,90.00,1,38,3,14,114,2.80,22.80,13.57
Colts,IND,9,WR,551027393,Josh Downs,2,0,2117,1,5,50.30,25,98.33,1,66,5,133,470,5.32,18.80,89.60
Colts,IND,9,WR,551028839,Alec Pierce,3,0,1890,14,4,39.40,13,100.00,0,37,4,47,154,3.62,11.85,43.20
Colts,IND,9,TE,551029706,Jelani Woods,3,0,2050,80,2,0.70,2,100.00,0,6,0,3,7,1.50,3.50,1.70
Colts,IND,9,HB,551029321,Jonathan Taylor,5,0,604,28,4,16.20,11,100.00,0,17,0,61,81,5.55,7.36,13.05
Colts,IND,9,WR,551028854,Michael Pittman Jr,5,0,532,11,5,48.90,23,97.14,1,71,5,118,324,5.13,14.09,59.52
Colts,IND,9,TE,551027633,Mike Gesicki,7,0,8900,88,5,11.60,17,95.00,1,33,0,65,230,3.82,13.53,55.40
Commanders,WAS,25,TE,551029148,Ben Sinnott,1,0,10247,82,4,7.40,7,100.00,0,20,0,20,74,2.86,10.57,19.70
Commanders,WAS,25,WR,551028441,Luke McCaffrey,1,0,10166,12,5,22.70,18,100.00,0,27,1,64,225,3.56,12.50,45.90
